GEO_ID,total_restrictions,municipal_level_restrictions,county_level_restrictions,battery storage,solar,transmission line,wind
39147,1,0,1,,1,,
39159,1,0,1,,1,,
39169,1,0,1,,1,,
40017,1,1,0,,,,1
40131,1,1,0,,,,1
04015,1,0,1,,,,
04021,1,1,0,,1,,
41059,1,0,1,,,,1
42073,1,1,0,,1,,
42097,1,1,0,,1,,
44003,1,1,0,,1,,
44007,2,2,0,,1,,1
44009,1,1,0,,,,1
45017,1,0,1,,1,,
46065,1,0,1,,,,1
46083,1,0,1,,,,1
46111,1,1,0,,,,1
46129,1,0,1,,1,,
47051,1,0,1,,,,
47059,1,0,1,,,,
48027,1,1,0,,,,1
48061,1,1,0,,1,,
48085,2,2,0,,,,2
48113,3,3,0,,,,3
48139,1,1,0,,,,1
48181,1,1,0,,,,1
48273,1,1,0,,,,1
48367,1,1,0,,,,1
48439,2,2,0,,1,,
48473,1,1,0,,,,1
49025,1,0,1,,1,,
51001,1,0,1,,1,,
51015,1,0,1,,1,,
51025,1,0,1,,1,,
51029,1,0,1,,1,,
51037,1,0,1,,1,,
51047,1,0,1,,1,,
51061,1,0,1,,1,,
51067,1,0,1,,1,,
51081,1,0,1,,1,,
51083,1,0,1,,1,,
51089,1,0,1,,1,,
51093,1,0,1,,1,,
51095,1,0,1,,1,,
51109,1,0,1,,1,,
51111,1,0,1,,1,,
51113,1,0,1,,1,,
51117,1,0,1,,1,,
51139,1,0,1,,1,,
51141,1,0,1,,,,
51143,1,0,1,,1,,
51149,1,0,1,,1,,
51165,1,0,1,,1,,
51171,1,0,1,,1,,
51175,1,0,1,,1,,
51187,1,0,1,,,,1
53025,1,0,1,,1,,
53037,1,0,1,,1,,
53039,1,0,1,,1,,
53077,1,0,1,,1,,
55019,1,1,0,,,,1
55021,1,1,0,,1,,
55025,4,4,0,,4,,
55035,1,1,0,,,,1
55071,1,0,1,,,,1
55073,8,8,0,,,,8
55105,1,1,0,,,,1
56011,1,0,1,,,,1
06015,1,1,0,,,,1
06037,1,0,1,,1,,
06071,1,0,1,,1,,
06085,1,0,1,,1,,
08029,1,0,1,,,,
08085,1,0,1,,1,,
08103,1,0,1,,1,,
08113,1,0,1,,1,,
08121,1,0,1,,1,,
