USPS,restrictive_policies_total,solar_restrictive_policies,wind_restrictive_policies,state_name,geography_id,utility_pv,csp,residential_pv,commercial_pv,distributed_wind,floating_pv,biopower,offshore_wind,hydro,land_based_wind,geothermal,solar_restrictions_normalized,wind_restrictions_normalized,solar_and_wind_restrictions_normalized,solar_and_wind_restrictions_normalized_per_1000_gw
NY,39,26,12,New York,G36,1314614373.65,0,19793320.18,34886750.29,707478814.64,16404656.31,46960808.57754444,305845689.61701214,53325153.77708578,252848232.66,NA,1.9777662956636878e-8,4.7459299492657173e-8,6.723696244929404e-8,0.06723696244929404
OH,23,23,0,Ohio,G39,2872126068.67,0,23521982.14,31614101.94,714303505.11,94956.419,35906040.83104444,63461601.36620935,6604687.273250192,254749954.91,NA,8.008005028362368e-9,0,8.008005028362368e-9,0.008008005028362368
OK,2,0,2,Oklahoma,G40,7935173924.01,12015003852.12,10934682.88,17194006.73,799301462.88,96401938.94,12856634.732748147,NA,14503424.777320296,903698124.59,NA,0,2.213128417088818e-9,2.213128417088818e-9,0.002213128417088818
OR,1,0,1,Oregon,G41,2939641393.68,3363650772.68,5836981.95,9689848.1,217002904.95,12182760.71,30348581.721674077,237080316.4661657,71071016.7684915,595323820.18,12738616.800000004,0,1.6797580847640929e-9,1.6797580847640929e-9,0.0016797580847640928
PA,2,2,0,Pennsylvania,G42,792173808.33,0,19582856.41,31875516.28,635934034.1,586652.442,40699873.94892593,15721287.173128914,66023392.001181245,275002596.07,NA,2.5246984676459405e-9,0,2.5246984676459405e-9,0.0025246984676459403
RI,4,2,2,Rhode Island,G44,34760021.23,0,1366555.49,3320334.05,16566909.37,1120719.296,50600.22764444444,90249505.71040729,20447.896272029546,629803.52,NA,5.7537364168059805e-8,3.1755935565428406e-6,3.2331309207109003e-6,3.2331309207109005
SC,1,1,0,South Carolina,G45,1987299800.66,278277298.13,9724159.84,9248957.95,286998314.75,26827057.55,43060818.69600002,734721188.5101762,3304546.023010363,55848463.31,NA,5.031953405660741e-10,0,5.031953405660741e-10,5.031953405660742e-4
SD,4,1,3,South Dakota,G46,7624085911.33,6690148151.9,1879930.44,1800909.76,426164820.31,1712617.299,128949494.75567406,NA,14371777.189379388,1153240204.75,NA,1.3116326489893304e-10,2.6013661227240528e-9,2.732529387622986e-9,0.002732529387622986
TN,2,0,0,Tennessee,G47,1875360355.71,2830267.84,13043822.58,15187891.24,473936667.27,1184847.581,76106756.71111111,NA,40033230.3211962,215879988.42,NA,0,0,0,0
TX,14,2,11,Texas,G48,31485323440.08,48055919677.31,61283430.81,84611627.25,1906316815.51,29432160.63,34160290.59126668,870428002.5023737,10620033.35449421,3196840376.35,NA,6.352165966489809e-11,3.4408974815812595e-9,3.5044191412461576e-9,0.0035044191412461575
UT,1,1,0,Utah,G49,3709227976.49,5649145780.21,4248351.79,4360765.93,122355059.84,7028180.041000001,4982533.073777777,NA,4901946.211768059,636194125.48,3505752,2.695978802969907e-10,0,2.695978802969907e-10,2.6959788029699074e-4
VA,25,23,1,Virginia,G51,1599983326.16,161794.09,10016509.44,13198818.49,403620122.81,27500177.77,61724153.95705186,153554798.01070273,17857599.963711035,141008024.86,NA,1.4375149805592396e-8,7.091794959846088e-9,2.1466944765438483e-8,0.021466944765438485
WA,4,4,0,Washington,G53,1619657488.68,1295971813.17,8147626.67,14689297.81,285932279.27,23554495.32,19697510.393703707,163688760.32618397,65012368.74380131,333833628.31,596556,2.4696579542011367e-9,0,2.4696579542011367e-9,0.0024696579542011366
WI,17,5,12,Wisconsin,G55,3538828046.41,0,12111238.43,15415277.82,877000101.15,4185156.85,41988799.08440741,77226725.98708658,4760394.44122556,228010870.96,NA,1.4128971327307922e-9,5.262906961179567e-8,5.404196674452647e-8,0.054041966744526465
WY,1,0,1,Wyoming,G56,5668346535.31,5882973958.77,1151794.26,712259.42,179773835.15,20534813.48,413993.6609703704,NA,3888036.418796407,1330381419.05,678724.8,0,7.516641360746611e-10,7.516641360746611e-10,7.516641360746612e-4
